jisc_publication_title,title_id,nlp,JISC
"Aberdeen Journal and general advertiser for the north of Scotland, The",013921360 ,31,JISC1
Aberdeen Weekly Journal  ,013921362,32,JISC1
Baner,013906328,36,JISC1
Baner ac Amserau Cymru,013906329,37,JISC1
Belfast News-Letter,013943744,38,JISC1
Birmingham Daily Post,013943727,33,JISC1
Brighton Patriot,013897269 ,39,JISC1
Brighton Patriot and South of England Free Press,013897270,40,JISC1
Bristol Mercury,013897352,34,JISC1
"Bristol Mercury and Daily Post, the",013897353,35,JISC1
Caledonian Mercury,013909857,45,JISC1
"Caledonian Mercury, The",013909859,47,JISC1
"Caledonian Mercury and Daily Express, The",013909858,46,JISC1
Champion,013928341,41,JISC1
"Champion and Weekly Herald, The",013928342,42,JISC1
"Charter, The",013928644,43,JISC1
Chartist ,013928645,44,JISC1
Chartist Circular,013909641,48,JISC1
Cobbett's Annual Register,013911140 ,49,JISC1
Cobbett's Weekly Political Register,013911141,50,JISC1
Daily News,013910025,51,JISC1
Derby Mercury,013906383,52,JISC1
"Era, The",013924614,53,JISC1
Examiner,013901239,54,JISC1
Freeman's Journal,013890955,55,JISC1
Freeman's Journal and Daily Commercial Advertiser,013890956,56,JISC1
Genedl,013905399,59,JISC1
Glasgow Herald,013943715,60,JISC1
Goleuad,013905401,58,JISC1
Graphic,013904695,57,JISC1
Hampshire Telegraph & Portsmouth Gazette,013924138,68,JISC1
Hampshire Telegraph and Naval Chronicle,013924140,70,JISC1
"Hampshire Telegraph and Sussex Chronicle, etc",013924139,69,JISC1
Hampshire/Portsmouth Telegraph,013924136,66,JISC1
Hull Packet,013898001 ,61,JISC1
"Hull Packet, The",013898004,64,JISC1
"Hull Packet and East Riding Times, The",013898005,65,JISC1
"Hull Packet and Humber Mercury, The",013898003,63,JISC1
"Hull Packet and Original Weekly Commercial, Literary and General Advertiser, The",013898002,62,JISC1
Illustrated Police News,013911863,72,JISC1
Ipswich Journal ,013923465,71,JISC1
Jackson's Oxford Journal,013924043,73,JISC1
Jackson's Oxford Journal,013924045,75,JISC1
Leeds Mercury ,013898320,76,JISC1
Liverpool Mercury,013898683,81,JISC1
Lloyd's Illustrated Newspaper,013912159,77,JISC1
Lloyd's Weekly London Newspaper,013912160,78,JISC1
Lloyd's Weekly Newspaper,013912161,79,JISC1
London Dispatch,013912229,80,JISC1
Morning Chronicle,013915254,82,JISC1
Mottley's Telegraph and Portsmouth Gazette,013924137,67,JISC1
Newcastle Courant,013943623,74,JISC1
"Newcastle Weekly Courant, The",013899719 ,100,JISC1
North Wales Chronicle,013943606,85,JISC1
Northern Echo,013891242,86,JISC1
Northern Liberator,013899758 ,87,JISC1
"Northern Liberator and Champion, The",013899759,101,JISC1
Northern Star,013898344,88,JISC1
"Northern Star and National Trades' Journal, The",013898345,102,JISC1
"Odd Fellow, The",013926491,89,JISC1
"Operative, The",013930202,90,JISC1
Oxford Journal and County News,013924044,91,JISC1
"Pall Mall Gazette, The",013912871,92,JISC1
"Poor Man's Guardian, The",013912699,93,JISC1
